order_book_id,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
000670.XSHE,YFW,MainBoard,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,1996-12-17,100.0,InformationTechnology,信息技术,Normal,Active,盈方微,CS
000671.XSHE,YGC,MainBoard,0000-00-00,XSHE,K70,房地产业,1996-12-18,100.0,Financials,金融,Normal,Active,阳光城,CS
000672.XSHE,SFSN,MainBoard,0000-00-00,XSHE,C30,非金属矿物制品业,1996-12-18,100.0,Materials,原材料,Normal,Active,上峰水泥,CS
000673.XSHE,DDDF,MainBoard,0000-00-00,XSHE,R87,文化艺术业,1997-01-24,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,当代东方,CS
000676.XSHE,ZDGF,MainBoard,0000-00-00,XSHE,I64,互联网和相关服务,1996-12-24,100.0,InformationTechnology,信息技术,Normal,Active,智度股份,CS
000677.XSHE,HTHL,MainBoard,0000-00-00,XSHE,C28,化学纤维制造业,1996-12-26,100.0,Materials,原材料,Normal,Active,恒天海龙,CS
000678.XSHE,XYZC,MainBoard,0000-00-00,XSHE,C34,通用设备制造业,1997-01-06,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,襄阳轴承,CS
000679.XSHE,DLYY,MainBoard,0000-00-00,XSHE,F52,零售业,1997-01-24,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,大连友谊,CS
000680.XSHE,STGF,MainBoard,0000-00-00,XSHE,C35,专用设备制造业,1997-01-22,100.0,Industrials,工业,Normal,Active,山推股份,CS
000681.XSHE,SJZG,MainBoard,0000-00-00,XSHE,R87,文化艺术业,1997-01-21,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,视觉中国,CS
000682.XSHE,DFDZ,MainBoard,0000-00-00,XSHE,C38,电气机械和器材制造业,1997-01-21,100.0,Industrials,工业,Normal,Active,东方电子,CS
000683.XSHE,YXNY,MainBoard,0000-00-00,XSHE,C26,化学原料及化学制品制造业,1997-01-31,100.0,Materials,原材料,Normal,Active,远兴能源,CS
000685.XSHE,ZSGY,MainBoard,0000-00-00,XSHE,D46,水的生产和供应业,1997-01-23,100.0,Utilities,公用事业,Normal,Active,中山公用,CS
000686.XSHE,DBZQ,MainBoard,0000-00-00,XSHE,J67,资本市场服务,1997-02-27,100.0,Financials,金融,Normal,Active,东北证券,CS
000687.XSHE,HXFZ,MainBoard,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,1997-02-21,100.0,Industrials,工业,Normal,Active,华讯方舟,CS
000688.XSHE,JXKY,MainBoard,0000-00-00,XSHE,B09,有色金属矿采选业,1997-01-20,100.0,Materials,原材料,Normal,Active,建新矿业,CS
000690.XSHE,BXNY,MainBoard,0000-00-00,XSHE,D44,电力、热力生产和供应业,1997-01-28,100.0,Utilities,公用事业,Normal,Active,宝新能源,CS
000691.XSHE,YTSY,MainBoard,0000-00-00,XSHE,K70,房地产业,1997-02-28,100.0,Financials,金融,Normal,Active,亚太实业,CS
000692.XSHE,HTRD,MainBoard,0000-00-00,XSHE,D44,电力、热力生产和供应业,1997-02-27,100.0,Utilities,公用事业,Normal,Active,惠天热电,CS
000693.XSHE,STHZ,MainBoard,0000-00-00,XSHE,B09,有色金属矿采选业,1997-02-26,100.0,Materials,原材料,StarST,Active,*ST华泽,CS
000695.XSHE,BHNY,MainBoard,0000-00-00,XSHE,D44,电力、热力生产和供应业,1997-02-18,100.0,Utilities,公用事业,Normal,Active,滨海能源,CS
000697.XSHE,LSYS,MainBoard,0000-00-00,XSHE,C37,铁路、船舶、航空航天和其他运输设备制造业,1997-03-25,100.0,Materials,原材料,Normal,Active,炼石有色,CS
000698.XSHE,SYHG,MainBoard,0000-00-00,XSHE,C25,石油加工、炼焦及核燃料加工业,1997-02-20,100.0,Energy,能源,Normal,Active,沈阳化工,CS
000700.XSHE,MSKJ,MainBoard,0000-00-00,XSHE,C36,汽车制造业,1997-02-28,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,模塑科技,CS
000701.XSHE,XMXD,MainBoard,0000-00-00,XSHE,F51,批发业,1997-02-26,100.0,Industrials,工业,Normal,Active,厦门信达,CS
